REF_CLOSING_DESCRIPTION,Attraction,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE,Holidays,Weekends
,Swing Ride,ATTR,2018-01-02 08:00:00.000,2018-01-02 21:26:00.000,2018-01-03 09:38:02.000,2018-01-02,0,0
,Roller Coaster,ATTR,2018-01-02 10:00:00.000,2018-01-02 18:00:00.000,2018-01-03 09:37:59.000,2018-01-02,0,0
,Bumper Cars,ATTR,2018-01-02 08:00:00.000,2018-01-02 21:05:00.000,2018-01-03 09:38:04.000,2018-01-02,0,0
,PortAventura World,PARK,2018-01-02 08:00:00.000,2018-01-02 09:00:00.000,2018-01-03 09:38:13.000,2018-01-02,0,0
,Giga Coaster,ATTR,2018-01-02 08:37:00.000,2018-01-02 21:20:00.000,2018-01-03 09:38:04.000,2018-01-02,0,0
,Spiral Slide,ATTR,2018-01-02 08:00:00.000,2018-01-02 18:21:00.000,2018-01-03 09:38:06.000,2018-01-02,0,0
,Crazy Dance,ATTR,2018-01-02 09:00:00.000,2018-01-02 22:08:00.000,2018-01-03 09:37:58.000,2018-01-02,0,0
,Kiddie Coaster,ATTR,2018-01-02 09:00:00.000,2018-01-02 17:10:00.000,2018-01-03 09:38:04.000,2018-01-02,0,0
,Rapids Ride,ATTR,2018-01-02 09:00:00.000,2018-01-02 17:16:00.000,2018-01-03 09:38:04.000,2018-01-02,0,0
,Oz Theatre,ATTR,2018-01-02 11:00:00.000,2018-01-02 16:18:00.000,2018-01-03 09:37:59.000,2018-01-02,0,0
,Free Fall,ATTR,2018-01-02 10:00:00.000,2018-01-02 18:26:00.000,2018-01-03 09:38:06.000,2018-01-02,0,0
,Drop Tower,ATTR,2018-01-03 08:00:00.000,2018-01-03 21:17:00.000,2018-01-04 10:27:41.000,2018-01-03,0,0
,Water Ride,ATTR,2018-01-03 08:34:00.000,2018-01-03 21:14:00.000,2018-01-04 10:27:41.000,2018-01-03,0,0
,Giga Coaster,ATTR,2018-01-03 08:54:00.000,2018-01-03 21:25:00.000,2018-01-04 10:27:42.000,2018-01-03,0,0
,Giant Wheel,ATTR,2018-01-03 09:00:00.000,2018-01-03 22:12:00.000,2018-01-04 10:27:43.000,2018-01-03,0,0
,Swing Ride,ATTR,2018-01-03 08:00:00.000,2018-01-03 21:20:00.000,2018-01-04 10:27:41.000,2018-01-03,0,0
,Bungee Jump,ATTR,2018-01-03 09:00:00.000,2018-01-03 22:02:00.000,2018-01-04 10:27:38.000,2018-01-03,0,0
,Rapids Ride,ATTR,2018-01-03 09:00:00.000,2018-01-03 17:00:00.000,2018-01-04 10:27:42.000,2018-01-03,0,0
,Zipline,ATTR,2018-01-03 09:00:00.000,2018-01-03 22:10:00.000,2018-01-04 10:27:39.000,2018-01-03,0,0
,Kiddie Coaster,ATTR,2018-01-03 09:00:00.000,2018-01-03 17:00:00.000,2018-01-04 10:27:42.000,2018-01-03,0,0
,Himalaya Ride,ATTR,2018-01-03 08:58:00.000,2018-01-03 22:17:00.000,2018-01-04 10:27:39.000,2018-01-03,0,0
,Inverted Coaster,ATTR,2018-01-03 10:00:00.000,2018-01-03 17:00:00.000,2018-01-04 10:27:43.000,2018-01-03,0,0
,PortAventura World,PARK,2018-01-03 08:00:00.000,2018-01-03 09:00:00.000,2018-01-04 10:27:50.000,2018-01-03,0,0
,Spiral Slide,ATTR,2018-01-03 08:00:00.000,2018-01-03 18:28:00.000,2018-01-04 10:27:45.000,2018-01-03,0,0
,Bumper Cars,ATTR,2018-01-03 08:00:00.000,2018-01-03 21:09:00.000,2018-01-04 10:27:42.000,2018-01-03,0,0
,Go-Karts,ATTR,2018-01-03 09:00:00.000,2018-01-03 22:20:00.000,2018-01-04 10:27:39.000,2018-01-03,0,0
,Oz Theatre,ATTR,2018-01-03 11:00:00.000,2018-01-03 17:27:00.000,2018-01-04 10:27:39.000,2018-01-03,0,0
,Free Fall,ATTR,2018-01-03 10:00:00.000,2018-01-03 18:03:00.000,2018-01-04 10:27:45.000,2018-01-03,0,0
,Circus Train,ATTR,2018-01-03 08:55:00.000,2018-01-03 17:20:00.000,2018-01-04 10:27:42.000,2018-01-03,0,0
,Dizzy Dropper,ATTR,2018-01-03 08:00:00.000,2018-01-03 21:15:00.000,2018-01-04 10:27:41.000,2018-01-03,0,0
,Haunted House,ATTR,2018-01-03 08:29:00.000,2018-01-03 20:57:00.000,2018-01-04 10:27:41.000,2018-01-03,0,0
,PortAventura World,PARK,2018-01-03 09:00:00.000,2018-01-03 22:00:00.000,2018-01-04 10:27:50.000,2018-01-03,0,0
,Merry Go Round,ATTR,2018-01-03 09:00:00.000,2018-01-03 22:12:00.000,2018-01-04 10:27:43.000,2018-01-03,0,0
,Roller Coaster,ATTR,2018-01-03 10:00:00.000,2018-01-03 17:56:00.000,2018-01-04 10:27:39.000,2018-01-03,0,0
,Flying Coaster,ATTR,2018-01-03 08:57:00.000,2018-01-03 22:15:00.000,2018-01-04 10:27:38.000,2018-01-03,0,0
,Crazy Dance,ATTR,2018-01-03 09:00:00.000,2018-01-03 22:05:00.000,2018-01-04 10:27:38.000,2018-01-03,0,0
,Spinning Coaster,ATTR,2018-01-03 08:58:00.000,2018-01-03 22:06:00.000,2018-01-04 10:27:39.000,2018-01-03,0,0
,Superman Ride,ATTR,2018-01-03 10:00:00.000,2018-01-03 17:19:00.000,2018-01-04 10:27:43.000,2018-01-03,0,0
,Spiral Slide,ATTR,2018-01-04 08:00:00.000,2018-01-04 18:26:00.000,2018-01-05 07:57:20.000,2018-01-04,0,0
,Oz Theatre,ATTR,2018-01-04 11:00:00.000,2018-01-04 16:59:00.000,2018-01-05 07:50:32.000,2018-01-04,0,0
,Superman Ride,ATTR,2018-01-04 09:57:00.000,2018-01-04 17:14:00.000,2018-01-05 07:56:40.000,2018-01-04,0,0
,Giant Wheel,ATTR,2018-01-04 09:00:00.000,2018-01-04 22:10:00.000,2018-01-05 07:56:40.000,2018-01-04,0,0
,Zipline,ATTR,2018-01-04 09:00:00.000,2018-01-04 22:14:00.000,2018-01-05 07:52:16.000,2018-01-04,0,0
,Free Fall,ATTR,2018-01-04 10:00:00.000,2018-01-04 18:09:00.000,2018-01-05 07:57:20.000,2018-01-04,0,0
,Go-Karts,ATTR,2018-01-04 08:49:00.000,2018-01-04 22:11:00.000,2018-01-05 07:50:32.000,2018-01-04,0,0
,Drop Tower,ATTR,2018-01-04 08:00:00.000,2018-01-04 21:12:00.000,2018-01-05 07:53:55.000,2018-01-04,0,0
,PortAventura World,PARK,2018-01-04 08:00:00.000,2018-01-04 09:00:00.000,2018-01-05 08:03:27.000,2018-01-04,0,0
,Merry Go Round,ATTR,2018-01-04 09:00:00.000,2018-01-04 22:00:00.000,2018-01-05 07:56:40.000,2018-01-04,0,0
,PortAventura World,PARK,2018-01-04 09:00:00.000,2018-01-04 22:00:00.000,2018-01-05 08:03:27.000,2018-01-04,0,0
,Dizzy Dropper,ATTR,2018-01-04 08:00:00.000,2018-01-04 21:00:00.000,2018-01-05 07:53:55.000,2018-01-04,0,0
,Water Ride,ATTR,2018-01-04 08:27:00.000,2018-01-04 21:05:00.000,2018-01-05 07:53:55.000,2018-01-04,0,0
,Kiddie Coaster,ATTR,2018-01-04 09:00:00.000,2018-01-04 17:00:00.000,2018-01-05 07:55:29.000,2018-01-04,0,0
,Rapids Ride,ATTR,2018-01-04 09:00:00.000,2018-01-04 17:00:00.000,2018-01-05 07:55:29.000,2018-01-04,0,0
,Himalaya Ride,ATTR,2018-01-04 09:00:00.000,2018-01-04 22:05:00.000,2018-01-05 07:52:16.000,2018-01-04,0,0
,Crazy Dance,ATTR,2018-01-04 09:00:00.000,2018-01-04 22:00:00.000,2018-01-05 07:41:20.000,2018-01-04,0,0
,Haunted House,ATTR,2018-01-04 08:23:00.000,2018-01-04 20:48:00.000,2018-01-05 07:53:55.000,2018-01-04,0,0
,Spinning Coaster,ATTR,2018-01-04 08:53:00.000,2018-01-04 22:00:00.000,2018-01-05 07:50:32.000,2018-01-04,0,0
,Bungee Jump,ATTR,2018-01-04 09:00:00.000,2018-01-04 22:06:00.000,2018-01-05 07:41:20.000,2018-01-04,0,0
,Circus Train,ATTR,2018-01-04 09:00:00.000,2018-01-04 17:14:00.000,2018-01-05 07:55:29.000,2018-01-04,0,0
,Bumper Cars,ATTR,2018-01-04 08:00:00.000,2018-01-04 21:11:00.000,2018-01-05 07:55:29.000,2018-01-04,0,0
,Roller Coaster,ATTR,2018-01-04 10:00:00.000,2018-01-04 17:55:00.000,2018-01-05 07:50:32.000,2018-01-04,0,0
,Swing Ride,ATTR,2018-01-04 08:00:00.000,2018-01-04 21:20:00.000,2018-01-05 07:53:55.000,2018-01-04,0,0
,Flying Coaster,ATTR,2018-01-04 09:00:00.000,2018-01-04 22:14:00.000,2018-01-05 07:41:20.000,2018-01-04,0,0
,Giga Coaster,ATTR,2018-01-04 08:46:00.000,2018-01-04 21:17:00.000,2018-01-05 07:55:29.000,2018-01-04,0,0
,Inverted Coaster,ATTR,2018-01-04 09:56:00.000,2018-01-04 17:00:00.000,2018-01-05 07:56:40.000,2018-01-04,0,0
,Spinning Coaster,ATTR,2018-01-05 08:57:00.000,2018-01-05 22:13:00.000,2018-01-06 08:53:57.000,2018-01-05,0,0
,Kiddie Coaster,ATTR,2018-01-05 09:00:00.000,2018-01-05 17:09:00.000,2018-01-06 08:54:41.000,2018-01-05,0,0
,Flying Coaster,ATTR,2018-01-05 09:00:00.000,2018-01-05 22:15:00.000,2018-01-06 08:46:35.000,2018-01-05,0,0
,Swing Ride,ATTR,2018-01-05 08:00:00.000,2018-01-05 21:30:00.000,2018-01-06 08:54:14.000,2018-01-05,0,0
,Haunted House,ATTR,2018-01-05 08:37:00.000,2018-01-05 20:53:00.000,2018-01-06 08:54:10.000,2018-01-05,0,0
,Zipline,ATTR,2018-01-05 09:00:00.000,2018-01-05 22:09:00.000,2018-01-06 08:54:08.000,2018-01-05,0,0
,Superman Ride,ATTR,2018-01-05 09:40:00.000,2018-01-05 17:00:00.000,2018-01-06 08:55:11.000,2018-01-05,0,0
,Bungee Jump,ATTR,2018-01-05 09:00:00.000,2018-01-05 22:00:00.000,2018-01-06 08:46:35.000,2018-01-05,0,0
,Roller Coaster,ATTR,2018-01-05 10:00:00.000,2018-01-05 17:56:00.000,2018-01-06 08:53:55.000,2018-01-05,0,0
,Free Fall,ATTR,2018-01-05 10:00:00.000,2018-01-05 18:10:00.000,2018-01-06 09:14:24.000,2018-01-05,0,0
,PortAventura World,PARK,2018-01-05 08:00:00.000,2018-01-05 09:00:00.000,2018-01-06 09:16:58.000,2018-01-05,0,0
,PortAventura World,PARK,2018-01-05 09:00:00.000,2018-01-05 22:00:00.000,2018-01-06 09:16:58.000,2018-01-05,0,0
,Himalaya Ride,ATTR,2018-01-05 09:00:00.000,2018-01-05 22:00:00.000,2018-01-06 08:53:59.000,2018-01-05,0,0
,Water Ride,ATTR,2018-01-05 08:35:00.000,2018-01-05 21:11:00.000,2018-01-06 08:54:15.000,2018-01-05,0,0
,Giga Coaster,ATTR,2018-01-05 08:57:00.000,2018-01-05 21:19:00.000,2018-01-06 08:54:32.000,2018-01-05,0,0
,Merry Go Round,ATTR,2018-01-05 08:58:00.000,2018-01-05 22:12:00.000,2018-01-06 08:54:58.000,2018-01-05,0,0
,Circus Train,ATTR,2018-01-05 09:00:00.000,2018-01-05 17:00:00.000,2018-01-06 08:54:31.000,2018-01-05,0,0
,Oz Theatre,ATTR,2018-01-05 11:00:00.000,2018-01-05 17:00:00.000,2018-01-06 08:47:48.000,2018-01-05,0,0
,Giant Wheel,ATTR,2018-01-05 09:00:00.000,2018-01-05 22:16:00.000,2018-01-06 08:54:48.000,2018-01-05,0,0
,Dizzy Dropper,ATTR,2018-01-05 08:00:00.000,2018-01-05 21:00:00.000,2018-01-06 08:54:11.000,2018-01-05,0,0
,Inverted Coaster,ATTR,2018-01-05 10:00:00.000,2018-01-05 17:00:00.000,2018-01-06 08:55:19.000,2018-01-05,0,0
,Rapids Ride,ATTR,2018-01-05 09:00:00.000,2018-01-05 17:06:00.000,2018-01-06 08:54:30.000,2018-01-05,0,0
,Go-Karts,ATTR,2018-01-05 08:56:00.000,2018-01-05 22:13:00.000,2018-01-06 08:53:53.000,2018-01-05,0,0
,Bumper Cars,ATTR,2018-01-05 08:00:00.000,2018-01-05 21:07:00.000,2018-01-06 08:54:41.000,2018-01-05,0,0
,Drop Tower,ATTR,2018-01-05 08:00:00.000,2018-01-05 21:14:00.000,2018-01-06 08:54:12.000,2018-01-05,0,0
,Crazy Dance,ATTR,2018-01-05 09:00:00.000,2018-01-05 22:00:00.000,2018-01-06 08:46:35.000,2018-01-05,0,0
,Spiral Slide,ATTR,2018-01-05 08:00:00.000,2018-01-05 18:29:00.000,2018-01-06 09:15:16.000,2018-01-05,0,0
,Giant Wheel,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:12:00.000,2018-01-07 09:31:17.000,2018-01-06,1,1
,Go-Karts,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:12:00.000,2018-01-07 09:27:54.000,2018-01-06,1,1
,Himalaya Ride,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:00:00.000,2018-01-07 09:28:19.000,2018-01-06,1,1
,Giga Coaster,ATTR,2018-01-06 08:55:00.000,2018-01-06 21:00:00.000,2018-01-07 09:29:51.000,2018-01-06,1,1
,Inverted Coaster,ATTR,2018-01-06 09:47:00.000,2018-01-06 17:00:00.000,2018-01-07 09:31:17.000,2018-01-06,1,1
,Crazy Dance,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:06:00.000,2018-01-07 09:27:35.000,2018-01-06,1,1
,Swing Ride,ATTR,2018-01-06 08:00:00.000,2018-01-06 21:28:00.000,2018-01-07 09:29:07.000,2018-01-06,1,1
,Zipline,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:07:00.000,2018-01-07 09:28:19.000,2018-01-06,1,1
,Roller Coaster,ATTR,2018-01-06 10:00:00.000,2018-01-06 17:58:00.000,2018-01-07 09:27:54.000,2018-01-06,1,1
,PortAventura World,PARK,2018-01-06 09:00:00.000,2018-01-06 22:00:00.000,2018-01-07 09:33:31.000,2018-01-06,1,1
,Bumper Cars,ATTR,2018-01-06 08:00:00.000,2018-01-06 21:04:00.000,2018-01-07 09:29:51.000,2018-01-06,1,1
,Spiral Slide,ATTR,2018-01-06 08:00:00.000,2018-01-06 18:23:00.000,2018-01-07 09:31:34.000,2018-01-06,1,1
,Free Fall,ATTR,2018-01-06 10:00:00.000,2018-01-06 18:01:00.000,2018-01-07 09:31:34.000,2018-01-06,1,1
,Haunted House,ATTR,2018-01-06 08:32:00.000,2018-01-06 20:47:00.000,2018-01-07 09:29:07.000,2018-01-06,1,1
,Flying Coaster,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:14:00.000,2018-01-07 09:27:35.000,2018-01-06,1,1
,Dizzy Dropper,ATTR,2018-01-06 08:00:00.000,2018-01-06 21:11:00.000,2018-01-07 09:29:07.000,2018-01-06,1,1
,Merry Go Round,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:16:00.000,2018-01-07 09:31:17.000,2018-01-06,1,1
,Drop Tower,ATTR,2018-01-06 08:00:00.000,2018-01-06 21:14:00.000,2018-01-07 09:29:07.000,2018-01-06,1,1
,Oz Theatre,ATTR,2018-01-06 11:00:00.000,2018-01-06 17:00:00.000,2018-01-07 09:27:54.000,2018-01-06,1,1
,Circus Train,ATTR,2018-01-06 08:52:00.000,2018-01-06 17:00:00.000,2018-01-07 09:29:51.000,2018-01-06,1,1
,PortAventura World,PARK,2018-01-06 08:00:00.000,2018-01-06 09:00:00.000,2018-01-07 09:33:31.000,2018-01-06,1,1
,Rapids Ride,ATTR,2018-01-06 08:47:00.000,2018-01-06 17:16:00.000,2018-01-07 09:29:51.000,2018-01-06,1,1
,Kiddie Coaster,ATTR,2018-01-06 09:00:00.000,2018-01-06 17:09:00.000,2018-01-07 09:29:51.000,2018-01-06,1,1
,Bungee Jump,ATTR,2018-01-06 09:00:00.000,2018-01-06 22:04:00.000,2018-01-07 09:27:35.000,2018-01-06,1,1
,Water Ride,ATTR,2018-01-06 08:43:00.000,2018-01-06 21:12:00.000,2018-01-07 09:29:07.000,2018-01-06,1,1
,Spinning Coaster,ATTR,2018-01-06 08:55:00.000,2018-01-06 22:12:00.000,2018-01-07 09:27:54.000,2018-01-06,1,1
,Superman Ride,ATTR,2018-01-06 10:00:00.000,2018-01-06 17:18:00.000,2018-01-07 09:31:17.000,2018-01-06,1,1
,Dizzy Dropper,ATTR,2018-01-07 08:00:00.000,2018-01-07 20:10:00.000,2018-01-08 09:13:59.000,2018-01-07,0,1
,PortAventura World,PARK,2018-01-07 09:00:00.000,2018-01-07 21:00:00.000,2018-01-08 09:14:12.000,2018-01-07,0,1
,Superman Ride,ATTR,2018-01-07 10:00:00.000,2018-01-07 17:10:00.000,2018-01-08 09:14:02.000,2018-01-07,0,1
,Kiddie Coaster,ATTR,2018-01-07 09:00:00.000,2018-01-07 17:08:00.000,2018-01-08 09:14:00.000,2018-01-07,0,1
,Roller Coaster,ATTR,2018-01-07 10:00:00.000,2018-01-07 17:50:00.000,2018-01-08 09:13:56.000,2018-01-07,0,1
,Giga Coaster,ATTR,2018-01-07 08:49:00.000,2018-01-07 20:14:00.000,2018-01-08 09:14:00.000,2018-01-07,0,1
,Himalaya Ride,ATTR,2018-01-07 09:00:00.000,2018-01-07 21:07:00.000,2018-01-08 09:13:57.000,2018-01-07,0,1
,Crazy Dance,ATTR,2018-01-07 08:53:00.000,2018-01-07 21:09:00.000,2018-01-08 09:13:54.000,2018-01-07,0,1
,Bumper Cars,ATTR,2018-01-07 08:00:00.000,2018-01-07 20:07:00.000,2018-01-08 09:14:00.000,2018-01-07,0,1
,Flying Coaster,ATTR,2018-01-07 08:57:00.000,2018-01-07 21:10:00.000,2018-01-08 09:13:54.000,2018-01-07,0,1
,Zipline,ATTR,2018-01-07 09:00:00.000,2018-01-07 21:09:00.000,2018-01-08 09:13:57.000,2018-01-07,0,1
,PortAventura World,PARK,2018-01-07 08:00:00.000,2018-01-07 09:00:00.000,2018-01-08 09:14:12.000,2018-01-07,0,1
,Spiral Slide,ATTR,2018-01-07 08:00:00.000,2018-01-07 18:29:00.000,2018-01-08 09:14:03.000,2018-01-07,0,1
,Water Ride,ATTR,2018-01-07 08:48:00.000,2018-01-07 20:00:00.000,2018-01-08 09:13:59.000,2018-01-07,0,1
,Merry Go Round,ATTR,2018-01-07 09:00:00.000,2018-01-07 21:00:00.000,2018-01-08 09:14:02.000,2018-01-07,0,1
,Drop Tower,ATTR,2018-01-07 08:00:00.000,2018-01-07 20:09:00.000,2018-01-08 09:13:59.000,2018-01-07,0,1
,Go-Karts,ATTR,2018-01-07 09:00:00.000,2018-01-07 21:11:00.000,2018-01-08 09:13:56.000,2018-01-07,0,1
,Oz Theatre,ATTR,2018-01-07 11:00:00.000,2018-01-07 16:48:00.000,2018-01-08 09:13:56.000,2018-01-07,0,1
,Circus Train,ATTR,2018-01-07 09:00:00.000,2018-01-07 17:13:00.000,2018-01-08 09:14:00.000,2018-01-07,0,1
,Inverted Coaster,ATTR,2018-01-07 09:50:00.000,2018-01-07 17:00:00.000,2018-01-08 09:14:02.000,2018-01-07,0,1
,Bungee Jump,ATTR,2018-01-07 09:00:00.000,2018-01-07 21:02:00.000,2018-01-08 09:13:54.000,2018-01-07,0,1
,Spinning Coaster,ATTR,2018-01-07 09:00:00.000,2018-01-07 21:00:00.000,2018-01-08 09:13:56.000,2018-01-07,0,1
,Giant Wheel,ATTR,2018-01-07 09:00:00.000,2018-01-07 21:13:00.000,2018-01-08 09:14:02.000,2018-01-07,0,1
,Rapids Ride,ATTR,2018-01-07 08:34:00.000,2018-01-07 17:12:00.000,2018-01-08 09:14:00.000,2018-01-07,0,1
,Free Fall,ATTR,2018-01-07 10:00:00.000,2018-01-07 17:14:00.000,2018-01-08 09:14:03.000,2018-01-07,0,1
,Haunted House,ATTR,2018-01-07 08:44:00.000,2018-01-07 19:49:00.000,2018-01-08 09:13:59.000,2018-01-07,0,1
,Swing Ride,ATTR,2018-01-07 08:00:00.000,2018-01-07 20:10:00.000,2018-01-08 09:13:59.000,2018-01-07,0,1
,Zipline,ATTR,2018-01-08 09:23:00.000,2018-01-08 19:05:00.000,2018-01-09 07:06:45.000,2018-01-08,0,0
,PortAventura World,PARK,2018-01-08 10:00:00.000,2018-01-08 19:00:00.000,2018-01-09 07:07:08.000,2018-01-08,0,0
,Himalaya Ride,ATTR,2018-01-08 09:52:00.000,2018-01-08 19:00:00.000,2018-01-09 07:06:45.000,2018-01-08,0,0
,Inverted Coaster,ATTR,2018-01-08 09:49:00.000,2018-01-08 17:00:00.000,2018-01-09 07:06:57.000,2018-01-08,0,0
,Flying Coaster,ATTR,2018-01-08 09:46:00.000,2018-01-08 19:10:00.000,2018-01-09 07:06:50.000,2018-01-08,0,0
,Drop Tower,ATTR,2018-01-08 08:30:00.000,2018-01-08 18:00:00.000,2018-01-09 07:06:55.000,2018-01-08,0,0
,Bungee Jump,ATTR,2018-01-08 09:48:00.000,2018-01-08 19:05:00.000,2018-01-09 07:06:50.000,2018-01-08,0,0
,Circus Train,ATTR,2018-01-08 09:46:00.000,2018-01-08 17:00:00.000,2018-01-09 07:06:55.000,2018-01-08,0,0
,Haunted House,ATTR,2018-01-08 10:00:00.000,2018-01-08 17:54:00.000,2018-01-09 07:06:55.000,2018-01-08,0,0
,Crazy Dance,ATTR,2018-01-08 09:25:00.000,2018-01-08 19:00:00.000,2018-01-09 07:06:50.000,2018-01-08,0,0
